Name,Slug,Telegram links
Ruff,RUFF,https://t.me/RuffChain
Arcblock,ABT,https://t.me/ArcBlock
Scala,XLA,https://t.me/scalaofficial
Non-Fungible Yearn,NFY,https://t.me/NFYOfficialChat
UniMex Network,UMX,https://t.me/UniMexNetwork
Enigma,ENG,https://t.me/enigmacatalyst
carVertical,CV,https://t.me/carVerticalio
Jupiter,JUP,https://t.me/jupiterproject
Kattana,KTN,"https://t.me/kattana_announcement, https://t.me/kattana_trade"
NFT Protocol,NFT,https://t.me/NFTProtocol
Kambria,KAT,"https://t.me/KambriaKorea, https://t.me/kambriaofficial"
Portion,PRT,https://t.me/PortionOfficial
DFSocial Gaming [old],DFSOCIAL,https://t.me/defisocial
CPChain,CPC,https://t.me/cpchain
Ultrain,UGAS,"https://t.me/Ultrain_CN, https://t.me/UltrainOfficial"
TosDis,DIS,https://t.me/Tosdis
Stobox,STBU,https://t.me/stobox_community
Shard Coin,SHARD,https://t.me/InfinitysCommunity
Gourmet Galaxy,GUM,https://t.me/gourmetgalaxy_chat
Napoleon X,NPX,https://t.me/napoleonx_ICO
Polkacity,POLC,https://t.me/Polkacity
BarterTrade,BART,https://t.me/BarterTradeofficial
Euler Tools,EULER,https://t.me/eulertools
PolkaBridge,PBR,https://t.me/polkabridgegroup
Midas Dollar,MDO,https://t.me/midasprotocolglobal
Zipper Network,ZIP,https://t.me/ZipperEN
Experty,EXY,https://t.me/experty_io
Moon Rocket Coin,MRC,https://t.me/moonrocketcoincommunity
MoonTools,MOONS,https://t.me/moontoolsio
Uniform Fiscal Object,UFO,https://t.me/UFOoriginal
DeFiner,FIN,https://t.me/DeFiner
Pivot Token,PVT,https://t.me/pivotglobal
Tapmydata,TAP,https://t.me/tapmydataofficial
Pandacoin,PND,https://t.me/DigitalPandacoin
Dify.Finance,YFIII,https://t.me/difyfinance
Infam,INF,https://t.me/InfamAnnoucements
VIPSTARCOIN,VIPS,https://t.me/vipstarcoin_officiai
Stabilize,STBZ,https://t.me/stabilizeprotocol
FintruX,FTX,https://t.me/FintruX
Phantasma Energy,KCAL,"https://t.me/phantasma_io, https://t.me/phantasma_io"
Direct Insurance Token,DIT,https://t.me/inmediate
Rate3,RTE,https://t.me/officialrate3
Lendefi,LDFI,https://t.me/Lendefi_io
Pepemon Pepeballs,PPBLZ,https://t.me/pepemonfinance
UniqueOne Photo,FOTO,https://t.me/Unique_One_Foto
GSENetwork,GSE,https://t.me/GSENetworkOfficial
CryptoTask,CTASK,https://t.me/cryptotaskofficial
DAPS Coin,DAPS,https://t.me/dapscoin
Polarisdefi,POLAR,https://t.me/polarisdefi
IONChain,IONC,"https://t.me/ionchain, https://t.me/ionchainen"
0xcert,ZXC,https://t.me/zeroxcert
Allive,ALV,https://t.me/ALLIVE_Official
CoinFi,COFI,https://t.me/coinfi
Debase,DEBASE,https://t.me/debaseonomics
Vox.Finance,VOX,https://t.me/VoxFinance
Nuco.Cloud,NCDT,https://t.me/nucocloud
MYX Network,MYX,https://t.me/myxnetwork
Polyient Games Unity,PGU,https://t.me/polyientgames_official
OVCODE,OVC,https://t.me/OVCODEblockchain
Semitoken,SEMI,https://t.me/semitokenno1
CBDAO,BREE,https://t.me/coinbreederDAO
ATN,ATN,https://t.me/ATN_Blockchain
ShowHand,HAND,https://t.me/showhandofficial
BuzzCoin,BUZZ,https://t.me/buzzcoincommunity
Quantis,QUAN,https://t.me/quantis
MetaWhale BTC,MWBTC,https://t.me/defilabs_community
MotaCoin,MOTA,https://t.me/motacoin
GokuMarket Credit,GMC,https://t.me/gokumarket_official
The ChampCoin,TCC,https://t.me/tccworldofficial
Pylon Network,PYLNT,https://t.me/pylonnetworkofficialtelegram
Coinsbit Token,CNB,"https://t.me/CoinsbitChat_ru, https://t.me/coinsbit_chat"
Transaction Service Fee,TSF,https://t.me/tsfblockchain
FACTS,BKC,https://t.me/Chinese_Facts
Ethereum Stake,ETHYS,https://t.me/ethereumstakefarm
Moonlight Lux,LX,https://t.me/Moonlightdotio
PEPS Coin,PEPS,https://t.me/pepsofficial
En-Tan-Mo,ETM,https://t.me/entanmo
Atheneum,AEM,https://t.me/embercoin
Neutron,NTRN,https://t.me/NeutronCoin
TigerCash,TCH,"https://t.me/Cointiger_cn, https://t.me/Cointiger_en"
YUI Finance,YUI,https://t.me/YuiFinance
LanaCoin,LANA,https://t.me/LanaCoin
ugChain,UGC,https://t.me/ugChainOfficial
Vsync,VSX,https://t.me/VSXcoin
DeltaChain,DELTA,https://t.me/deltachaingroup
Alpha Token,A,https://t.me/alpha_token
HyperJump,JUMP,https://t.me/hyperjump_fi
SkyMap,SKYM,https://t.me/SoarEarth
HeartBout,HB,https://t.me/heartbout
Shuffle Monster,SHUF,https://t.me/shuftoken
Peet DeFi,PTE,https://t.me/peetdefi
Social Activity Token,SAT,https://t.me/sphere_official1
InMax,INX,https://t.me/inmax_exchange
DUO Network,DUO,https://t.me/duonetwork
ImageCash,IMGC,https://t.me/ImageCoin_Official
MarteXcoin,MXT,https://t.me/martexcoin
YieldWars,WAR,https://t.me/yieldwarsofficial
GlobalToken,GLT,https://t.me/GlobalToken
Evrice,EVC,"https://t.me/evrice_rus, https://t.me/evriceofficial"
Basis Dollar,BSD,https://t.me/BasisDollar_Fi
